longitude,latitude,m_age,total_rooms,total_bedrooms,population,households,median_income,median_house_val,y
-122.03,37.83,24,5948,738,1997,710,9.8708,500001,NEAR BAY
-122.02,37.8,11,6200,907,2286,896,7.6518,359300,NEAR BAY
-122.03,37.87,21,3521,447,1396,467,8.2673,358700,NEAR BAY
-122.02,37.88,16,3031,438,1087,421,7.3732,287300,NEAR BAY
-122.02,37.87,14,3056,369,1209,377,8.4352,441400,NEAR BAY
-122.03,37.86,25,3004,393,1145,376,7.2655,494000,NEAR BAY
-122.1,37.93,20,10212,1424,4083,1374,8.039,382200,NEAR BAY
-122.12,37.94,22,4949,626,1850,590,10.4549,500001,NEAR BAY
-122.1,37.9,38,827,144,368,136,6.5095,294400,NEAR BAY
-122.14,37.9,32,5738,746,2099,732,10.3224,500001,NEAR BAY
-122.12,37.91,34,5683,755,1962,723,8.3678,455300,NEAR BAY
-122.09,37.89,35,880,139,352,132,6.8686,406500,NEAR BAY
-122.1,37.89,21,3282,653,1398,601,5.2079,310300,NEAR BAY
-122.11,37.89,32,2372,516,1067,492,4.3235,279500,NEAR BAY
-122.11,37.88,37,4005,614,1602,606,6.4666,348200,NEAR BAY
-122.12,37.88,35,2785,362,1001,363,8.0448,433300,NEAR BAY
-122.12,37.89,30,3227,733,1260,684,4.125,257100,NEAR BAY
-122.13,37.89,27,744,214,295,169,2.7411,350000,NEAR BAY
-122.13,37.87,18,1820,220,728,229,10.3713,426100,NEAR BAY
-122.14,37.88,34,6986,1096,2865,1124,6.2275,394400,NEAR BAY
-122.07,37.88,11,1077,318,590,264,3.5536,387200,NEAR BAY
-122.08,37.88,24,2059,462,410,294,2.3971,99400,NEAR BAY
-122.08,37.88,26,2947,,825,626,2.933,85000,NEAR BAY
-122.08,37.87,24,6130,1359,1750,1286,2.9167,102700,NEAR BAY
-122.06,37.85,17,7475,1556,2092,1449,3.6437,186500,NEAR BAY
-122.07,37.86,23,1025,205,263,191,3.12,155000,NEAR BAY
-122.06,37.86,16,5187,1014,1512,986,4.4551,252400,NEAR BAY
-122.07,37.86,17,1102,224,317,208,3.5893,206300,NEAR BAY
-122.08,37.87,26,2405,564,680,531,2.4896,73400,NEAR BAY
-122.1,37.88,35,3701,528,1511,517,7.2315,367100,NEAR BAY
-122.09,37.86,27,5484,760,2212,770,7.6202,402600,NEAR BAY
-122.11,37.87,33,3398,500,1351,457,6.5814,314200,NEAR BAY
-122.12,37.85,18,5252,686,1870,657,8.0074,454100,NEAR BAY
-122.08,37.84,17,1320,159,1722,141,11.7064,500001,NEAR BAY
-122.12,37.81,26,4048,513,1486,498,7.6717,416500,NEAR BAY
-122.12,37.82,26,2269,317,918,313,6.6657,364500,NEAR BAY
-122.11,37.83,19,5130,741,1887,712,7.203,369900,NEAR BAY
-122.08,37.82,4,2045,237,830,252,11.3421,500001,NEAR BAY
-122.14,37.86,20,6201,1182,2415,1141,4.5744,314000,NEAR BAY
-122.14,37.85,27,9147,1276,3371,1269,7.3267,389900,NEAR BAY
-122.14,37.84,24,2131,343,874,373,5.6349,355600,NEAR BAY
-122.16,37.83,16,4596,705,1480,650,7.52,370200,NEAR BAY
-122.16,37.86,36,3359,493,1298,483,8.1586,404300,NEAR BAY
-122.18,37.88,36,542,119,231,121,4.9,354200,NEAR BAY
-122.18,37.86,33,4449,636,1684,617,8.9571,399700,NEAR BAY
-122.16,37.89,32,1779,241,721,258,8.7589,434500,NEAR BAY
-122.17,37.88,32,3633,508,1393,506,7.6917,401800,NEAR BAY
-122.17,37.88,33,3626,502,1348,480,7.6107,423200,NEAR BAY
-122.17,37.87,38,1261,177,472,183,6.917,438000,NEAR BAY
-122.22,37.88,20,95,13,31,15,2.4444,475000,NEAR BAY
-122.2,37.89,37,3881,560,1315,517,7.3195,367500,NEAR BAY
-122.2,37.88,36,1065,160,398,155,7.7736,378100,NEAR BAY
-122.18,37.91,31,7200,876,2428,843,10.9405,500001,NEAR BAY
-122.2,37.9,36,2107,287,740,280,10.3416,500001,NEAR BAY
-122.18,37.9,36,4760,610,1511,572,9.0064,500001,NEAR BAY
-122.18,37.89,18,4845,735,1634,734,8.1489,499000,NEAR BAY
-122.01,37.92,18,2808,337,1038,337,8.3956,353600,NEAR BAY
-122.01,37.92,16,2638,345,1055,334,8.1163,365800,NEAR BAY
-122.25,38.02,16,1803,267,946,266,5.7001,205100,NEAR BAY
-122.25,38.03,15,3338,532,1834,520,5.6293,197600,NEAR BAY
-122.21,38.02,15,2150,327,1094,324,6.0224,198500,NEAR BAY
-122.2,37.96,9,6306,962,2581,911,6.7741,310700,NEAR BAY
-122.23,38.06,52,1350,266,490,257,3.125,171100,NEAR BAY
-122.23,38.05,52,1736,358,638,297,2.5517,147100,NEAR BAY
-122.21,38.06,52,2735,559,1076,487,3.6154,155700,NEAR BAY
-122.2,38.04,31,3029,500,1236,487,5.6022,197000,NEAR BAY
-122.26,38.03,25,2239,361,928,353,4.4474,203700,NEAR BAY
-122.27,38.04,47,1685,405,835,372,2.3103,134500,NEAR BAY
-122.26,38.03,41,1631,282,752,288,3.9345,150200,NEAR BAY
-122.26,38.04,41,2512,539,1179,480,2.694,123000,NEAR BAY
-122.25,38.05,30,1255,297,779,307,1.6767,147700,NEAR BAY
-122.32,38.06,4,7999,1611,3596,1396,5.0969,174200,NEAR BAY
-122.28,38,26,2335,413,980,417,3.4471,178900,NEAR BAY
-122.29,38,16,4986,1081,2805,1016,4.025,173200,NEAR BAY
-122.36,38.03,32,2159,393,981,369,4.3173,175400,NEAR BAY
-122.3,38,34,1712,317,956,341,4.4394,162000,NEAR BAY
-122.31,38,26,3735,641,1708,633,4.621,191100,NEAR BAY
-122.31,38.01,18,4123,874,1895,772,3.2759,195000,NEAR BAY
-122.28,37.99,28,3801,622,1654,571,4.375,193300,NEAR BAY
-122.26,37.98,28,2038,329,947,349,5.1178,198000,NEAR BAY
-122.27,37.99,16,4921,737,2312,725,5.8899,243200,NEAR BAY
-122.27,37.98,23,3455,479,1375,474,6.0289,218600,NEAR BAY
-122.26,38.02,5,3846,786,2053,716,5.0473,184800,NEAR BAY
-122.24,38.01,11,3751,565,1949,555,5.7862,269400,NEAR BAY
-122.24,38.01,16,2084,315,1154,307,6.0102,235600,NEAR BAY
-122.25,38,16,2978,411,1531,400,6.5006,237700,NEAR BAY
-122.26,38,14,2338,391,1003,398,4.2269,170500,NEAR BAY
-122.26,38,6,678,104,318,91,5.2375,246400,NEAR BAY
-122.27,38,15,1216,166,572,178,5.8418,240300,NEAR BAY
-122.27,38,12,1592,242,969,233,6.1576,248700,NEAR BAY
-122.26,38,5,6265,908,3326,872,6.2073,272900,NEAR BAY
-122.29,37.98,27,2133,347,850,350,5.1046,209800,NEAR BAY
-122.28,37.96,35,1579,243,734,264,5.5,201000,NEAR BAY
-122.27,37.97,10,15259,2275,7266,2338,6.0666,272400,NEAR BAY
-122.3,37.97,30,4030,772,1777,718,3.6393,184000,NEAR BAY
-122.3,37.97,34,2854,528,1211,452,3.5353,164700,NEAR BAY
-122.29,37.97,20,3426,632,1512,580,4.4911,227400,NEAR BAY
-122.3,37.97,35,1811,377,911,340,3.375,149700,NEAR BAY
-122.29,37.94,20,7578,1426,3637,1362,4.4387,190000,NEAR BAY
-122.32,37.95,37,1887,353,895,359,4.45,196600,NEAR BAY
-122.31,37.94,38,1794,349,810,335,3.8343,191400,NEAR BAY
-122.31,37.94,38,2172,403,945,384,4.3958,194200,NEAR BAY
-122.32,37.95,36,1425,245,573,239,4.35,185000,NEAR BAY
-122.31,37.99,25,6508,1137,3259,1081,4.2348,157800,NEAR BAY
-122.3,37.98,25,3807,806,1821,792,3.6518,164300,NEAR BAY
-122.32,37.97,29,2347,464,1135,490,3.9722,161000,NEAR BAY
-122.32,38.01,26,3054,492,1495,496,4.6944,171100,NEAR BAY
-122.33,38,35,3779,711,2493,679,2.9781,109000,NEAR BAY
-122.31,38,29,3108,534,1687,516,4.3333,170800,NEAR BAY
-122.32,37.99,24,4865,968,2315,893,4.2852,173500,NEAR BAY
-122.32,38,32,2275,397,1233,418,4.0437,162800,NEAR BAY
-122.34,37.99,42,1531,326,1271,377,2.6167,85100,NEAR BAY
-122.33,37.98,3,2850,544,1024,515,6.0115,175000,NEAR BAY
-122.33,37.99,4,3999,1079,1591,887,3.911,112500,NEAR BAY
-122.39,38,33,44,6,23,11,4.125,212500,NEAR BAY
-122.36,37.96,39,246,57,316,52,0.716,104200,NEAR BAY
-122.36,37.96,31,1157,276,956,232,1.5347,80400,NEAR BAY
-122.36,37.95,40,408,102,302,81,1.8333,69800,NEAR BAY
-122.37,37.95,35,215,45,100,34,1.6023,81300,NEAR BAY
-122.37,37.95,32,1298,363,716,268,0.9797,76400,NEAR BAY
-122.37,37.96,37,1572,402,1046,350,0.7403,68600,NEAR BAY
-122.41,37.98,36,60,15,42,25,1.4583,67500,NEAR BAY
-122.34,37.98,33,2014,410,1354,427,3.9773,131300,NEAR BAY
-122.35,37.98,34,3756,726,2237,686,3.7562,132900,NEAR BAY
-122.34,37.97,19,392,109,287,81,6.0426,110000,NEAR BAY
-122.35,37.96,32,1991,504,1139,423,2.0353,113600,NEAR BAY
-122.35,37.97,43,2178,482,1545,471,2.5863,112200,NEAR BAY
-122.35,37.97,31,2892,685,2104,641,3.2188,113800,NEAR BAY
-122.32,37.97,33,1595,292,991,300,4.6937,134100,NEAR BAY
-122.32,37.97,33,1156,190,643,209,4.5,156600,NEAR BAY
-122.33,37.97,19,5151,1335,2548,1165,3.3125,158800,NEAR BAY
-122.33,37.98,32,1967,348,1144,364,4.4135,150100,NEAR BAY
-122.33,37.97,45,1982,376,1179,398,3.5463,130800,NEAR BAY
-122.34,37.97,19,2237,580,1438,551,2.3382,120700,NEAR BAY
-122.33,37.96,46,1222,236,819,251,3.9118,129400,NEAR BAY
-122.35,37.96,36,2191,531,1563,524,2.5164,114200,NEAR BAY
-122.35,37.96,29,1899,524,1357,443,1.875,97200,NEAR BAY
-122.35,37.96,35,1326,346,1023,295,2.0724,97700,NEAR BAY
-122.35,37.95,31,2449,595,1801,548,2.6328,110300,NEAR BAY
-122.35,37.96,34,1428,335,1272,319,2.5461,93900,NEAR BAY
-122.36,37.96,30,950,317,1073,280,1.8664,107800,NEAR BAY
-122.32,37.96,25,1728,403,934,412,3.375,133700,NEAR BAY
-122.32,37.96,34,2070,357,784,294,4.0417,182800,NEAR BAY
-122.32,37.95,35,1612,354,887,331,2.5769,146100,NEAR BAY
-122.33,37.95,22,2099,569,1135,509,2.1915,120800,NEAR BAY
-122.34,37.96,15,6487,1717,3408,1560,2.1991,133300,NEAR BAY
-122.34,37.96,33,1817,441,1220,389,2.5382,103600,NEAR BAY
-122.32,37.94,38,2751,522,1390,489,3.7277,165100,NEAR BAY
-122.32,37.94,46,1901,295,833,352,5.5196,210800,NEAR BAY
-122.32,37.93,40,1141,213,434,196,3.9464,186900,NEAR BAY
-122.33,37.95,42,1627,336,848,316,3.7708,144600,NEAR BAY
-122.33,37.94,45,1226,279,590,260,2.8833,140400,NEAR BAY
-122.33,37.94,47,1882,361,797,342,3.5848,140800,NEAR BAY
-122.33,37.94,43,1876,389,807,377,3.1571,141600,NEAR BAY
-122.33,37.94,42,1695,345,719,334,3.9417,139100,NEAR BAY
-122.33,37.94,44,1769,332,828,309,4.0526,150800,NEAR BAY
-122.34,37.95,45,1128,240,702,270,3.6719,134100,NEAR BAY
-122.33,37.95,45,1585,329,981,373,3.0313,135800,NEAR BAY
-122.33,37.95,46,1543,339,777,322,4.0927,142600,NEAR BAY
-122.34,37.95,44,1675,317,806,311,3.0694,135300,NEAR BAY
-122.34,37.95,44,1788,368,933,329,2.875,133400,NEAR BAY
-122.34,37.95,39,1986,427,1041,385,3.2333,135100,NEAR BAY
-122.34,37.95,38,1340,298,766,241,3.2833,111700,NEAR BAY
-122.35,37.95,45,2142,431,1318,431,3.0737,111600,NEAR BAY
-122.35,37.95,42,1485,290,971,303,3.6094,114600,NEAR BAY
-122.36,37.95,38,1042,289,773,248,2.7714,104700,NEAR BAY
-122.34,37.94,47,2313,433,947,430,3.942,143300,NEAR BAY
-122.34,37.94,44,1917,444,936,435,2.7391,140300,NEAR BAY
-122.34,37.94,31,1611,455,786,411,1.681,145500,NEAR BAY
-122.34,37.94,42,2206,451,989,444,3.125,143900,NEAR BAY
-122.35,37.94,45,2112,493,1406,452,2.3456,105200,NEAR BAY
-122.35,37.94,34,1880,459,1358,422,1.6571,105200,NEAR BAY
-122.35,37.94,47,1275,275,844,273,2.8967,95600,NEAR BAY
-122.36,37.95,38,1066,248,729,286,1.5139,81700,NEAR BAY
-122.36,37.94,45,907,188,479,161,3.0862,79000,NEAR BAY
-122.36,37.94,27,844,249,583,265,0.9687,105800,NEAR BAY
-122.36,37.94,26,1540,343,1007,338,1.3365,72900,NEAR BAY
-122.36,37.94,41,2591,585,1638,462,1.822,79700,NEAR BAY
-122.37,37.94,49,969,229,599,195,1.3167,71600,NEAR BAY
-122.35,37.93,19,1334,366,1048,316,1.7865,88000,NEAR BAY
-122.35,37.93,28,1995,488,1182,439,2.3352,84300,NEAR BAY
-122.36,37.94,43,369,107,371,111,1.6,79400,NEAR BAY
-122.36,37.93,17,1258,254,885,229,3.05,121600,NEAR BAY
-122.37,37.94,40,1064,266,912,239,1.0521,69100,NEAR BAY
-122.37,37.93,45,3150,756,1798,749,1.75,37900,NEAR BAY
-122.38,37.91,18,3507,711,1224,676,5.0524,269800,NEAR BAY
-122.42,37.93,47,3453,779,1353,728,4.016,274500,NEAR BAY
-122.41,37.94,52,154,33,89,38,3.2875,275000,NEAR BAY
-122.34,37.93,30,2515,481,1327,428,2.1287,95000,NEAR BAY
-122.35,37.93,39,2002,416,1166,395,1.7257,91500,NEAR BAY
-122.36,37.93,44,1891,449,1047,432,1.7727,86100,NEAR BAY
-122.36,37.93,42,1796,389,1107,372,1.9375,87000,NEAR BAY
-122.37,37.93,37,709,190,644,174,0.8641,84200,NEAR BAY
-122.33,37.91,36,1954,513,1437,440,1.125,93800,NEAR BAY
-122.35,37.92,36,921,200,585,236,1.9224,94000,NEAR BAY
-122.36,37.92,52,215,41,126,43,1.3929,104200,NEAR BAY
-122.35,37.91,4,2851,798,1285,712,4.2895,186800,NEAR BAY
-122.33,37.93,34,2326,471,1356,441,2.3475,90300,NEAR BAY
-122.33,37.93,27,2158,424,1220,442,3.0156,111500,NEAR BAY
-122.34,37.93,32,2389,652,1672,584,1.4423,88300,NEAR BAY
-122.34,37.93,45,2225,486,1304,459,2.64,112100,NEAR BAY
-122.35,37.93,41,268,75,198,82,3.2222,156300,NEAR BAY
-122.32,37.92,29,2304,399,1377,454,5.0187,140600,NEAR BAY
-122.33,37.92,26,3887,779,2512,740,2.2301,122400,NEAR BAY
-122.32,37.92,28,4649,977,2606,953,3.2674,129100,NEAR BAY
-122.32,37.91,34,2669,647,1341,555,2.6399,119600,NEAR BAY
-122.31,37.91,39,2955,696,1417,682,2.7628,167800,NEAR BAY
-122.31,37.91,43,2549,511,1060,528,3.6417,178400,NEAR BAY
-122.31,37.91,45,3924,834,1992,773,4.1146,177800,NEAR BAY
-122.31,37.93,39,2505,371,872,345,5.3433,286500,NEAR BAY
-122.31,37.93,36,2403,408,917,404,5.0399,253400,NEAR BAY
-122.32,37.93,40,3056,489,1103,481,5.1067,247300,NEAR BAY
-122.32,37.94,47,1911,283,697,275,6.2712,267700,NEAR BAY
-122.3,37.92,32,3943,605,1524,614,6.0677,321600,NEAR BAY
-122.29,37.92,35,583,88,235,84,5.943,288200,NEAR BAY
-122.29,37.92,32,1736,234,602,231,6.516,401000,NEAR BAY
-122.3,37.93,34,2254,357,715,306,4.5,304000,NEAR BAY
-122.31,37.93,36,1526,256,696,263,3.5089,261900,NEAR BAY
-122.32,37.93,33,296,73,216,63,2.675,22500,NEAR BAY
-122.31,37.92,30,1014,236,537,204,2.8456,183300,NEAR BAY
-122.31,37.92,38,1250,236,631,279,3.724,220100,NEAR BAY
-122.31,37.92,12,1895,600,983,519,2.5,195800,NEAR BAY
-122.32,37.92,22,1119,220,565,199,3.3594,186900,NEAR BAY
-122.31,37.92,43,2116,407,900,361,4.1587,212200,NEAR BAY
-122.3,37.92,33,1615,271,710,285,4.0804,239000,NEAR BAY
-122.31,37.91,31,1432,348,681,348,2.7243,218100,NEAR BAY
-122.3,37.91,39,2686,569,1159,559,2.9441,200400,NEAR BAY
-122.3,37.91,40,2866,617,1305,589,3.6321,209100,NEAR BAY
-122.3,37.9,37,2125,489,912,462,2.9219,217200,NEAR BAY
-122.3,37.9,41,2053,435,873,415,3.4091,223000,NEAR BAY
-122.3,37.9,35,1102,308,688,303,2.3946,141700,NEAR BAY
-122.3,37.9,30,1772,471,880,437,2.2672,162500,NEAR BAY
-122.29,37.92,36,1450,235,568,234,6,311400,NEAR BAY
-122.29,37.91,38,2591,424,905,378,5.1691,263200,NEAR BAY
-122.29,37.91,46,2085,346,748,354,4.0536,262000,NEAR BAY
-122.29,37.91,40,2085,329,796,339,5.5357,273700,NEAR BAY
-122.29,37.9,52,2657,500,1131,489,4.4286,234900,NEAR BAY
-122.28,37.91,38,2501,348,805,329,6.5576,358500,NEAR BAY
-122.28,37.9,49,3191,516,1148,507,6.3538,333700,NEAR BAY
-122.28,37.9,52,1369,249,490,248,4.1212,287500,NEAR BAY
-122.28,37.91,41,3009,482,1053,490,5.828,324400,NEAR BAY
-122.27,37.91,47,1930,315,692,296,6.3669,315500,NEAR BAY
-122.28,37.91,48,2083,298,685,286,7.3089,331200,NEAR BAY
-124.17,41.8,16,2739,480,1259,436,3.7557,109400,NEAR OCEAN
-124.3,41.8,19,2672,552,1298,478,1.9797,85800,NEAR OCEAN
-124.23,41.75,11,3159,616,1343,479,2.4805,73200,NEAR OCEAN
-124.21,41.77,17,3461,722,1947,647,2.5795,68400,NEAR OCEAN
-124.19,41.78,15,3140,714,1645,640,1.6654,74600,NEAR OCEAN
-124.22,41.73,28,3003,699,1530,653,1.7038,78300,NEAR OCEAN
-124.21,41.75,20,3810,787,1993,721,2.0074,66900,NEAR OCEAN
-124.17,41.76,20,2673,538,1282,514,2.4605,105900,NEAR OCEAN
-124.16,41.74,15,2715,569,1532,530,2.1829,69500,NEAR OCEAN
-124.14,41.95,21,2696,578,1208,494,2.275,122400,NEAR OCEAN
-124.16,41.92,19,1668,324,841,283,2.1336,75000,NEAR OCEAN
-124.3,41.84,17,2677,531,1244,456,3.0313,103600,NEAR OCEAN
-124.15,41.81,17,3276,628,3546,585,2.2868,103100,NEAR OCEAN
-123.92,41.54,22,2920,636,1382,499,2.0202,71100,NEAR OCEAN
-124.17,40.8,52,661,316,392,244,0.957,60000,NEAR OCEAN
-124.16,40.8,52,2416,618,1150,571,1.7308,80500,NEAR OCEAN
-124.16,40.79,52,1264,277,591,284,1.7778,76900,NEAR OCEAN
-124.17,40.8,52,1606,419,891,367,1.585,75500,NEAR OCEAN
-124.17,40.8,52,1557,344,758,319,1.8529,62500,NEAR OCEAN
-124.16,40.79,52,2148,421,975,430,2.2566,92700,NEAR OCEAN
-124.16,40.78,50,2285,403,837,353,2.5417,85400,NEAR OCEAN
-124.17,40.78,39,1606,330,731,327,1.6369,68300,NEAR OCEAN
-124.19,40.78,37,1371,319,640,260,1.8242,70000,NEAR OCEAN
-124.18,40.79,39,1836,352,883,337,1.745,70500,NEAR OCEAN
-124.18,40.79,40,1398,311,788,279,1.4668,64600,NEAR OCEAN
-124.17,40.79,43,2285,479,1169,482,1.9688,70500,NEAR OCEAN
-124.16,40.78,43,2241,446,932,395,2.9038,82000,NEAR OCEAN
-124.16,40.77,35,2141,438,1053,434,2.8529,85600,NEAR OCEAN
-124.17,40.77,30,1895,366,990,359,2.2227,81300,NEAR OCEAN
-124.18,40.78,37,1453,293,867,310,2.5536,70200,NEAR OCEAN
-124.18,40.78,33,1076,222,656,236,2.5096,72200,NEAR OCEAN
-124.18,40.78,34,1592,364,950,317,2.1607,67000,NEAR OCEAN
-124.17,40.75,13,2171,339,951,353,4.8516,116100,NEAR OCEAN
-124.17,40.76,26,1776,361,992,380,2.8056,82800,NEAR OCEAN
-124.19,40.77,30,2975,634,1367,583,2.442,69000,NEAR OCEAN
-124.15,40.81,50,340,74,235,83,1.75,67500,NEAR OCEAN
-124.14,40.8,32,1373,312,872,306,2.5,72600,NEAR OCEAN
-124.15,40.8,47,1486,335,765,329,1.755,74100,NEAR OCEAN
-124.16,40.8,52,2167,480,908,451,1.6111,74700,NEAR OCEAN
-124.16,40.8,52,1703,500,952,435,1.1386,74100,NEAR OCEAN
-124.14,40.79,38,1552,290,873,291,2.4896,81000,NEAR OCEAN
-124.15,40.78,41,2127,358,911,349,3.1711,104200,NEAR OCEAN
-124.16,40.78,46,1975,346,791,349,3.8,81800,NEAR OCEAN
-124.16,40.79,46,3042,597,1206,541,2.1135,90600,NEAR OCEAN
-124.15,40.79,37,2692,488,1263,486,3.0216,86400,NEAR OCEAN
-124.14,40.78,35,2426,423,982,432,3.4219,92800,NEAR OCEAN
-124.14,40.77,27,3046,605,1407,571,2.9143,99600,NEAR OCEAN
-124.15,40.76,24,2858,511,1388,512,3.375,100600,NEAR OCEAN
-124.15,40.78,36,2112,374,829,368,3.3984,90000,NEAR OCEAN
-124.11,40.81,23,959,212,425,175,2.5536,96100,NEAR OCEAN
-124.13,40.78,34,2142,420,1056,382,2.1101,86900,NEAR OCEAN
-124.13,40.8,31,2152,462,1259,420,2.2478,81100,NEAR OCEAN
-124.13,40.79,29,2474,453,1130,427,2.8833,83000,NEAR OCEAN
-124.13,40.79,32,2017,359,855,346,3.5833,92800,NEAR OCEAN
-124.06,40.86,34,4183,,1891,669,3.2216,98100,NEAR OCEAN
-124.05,40.85,31,2414,428,1005,401,3.5156,143000,NEAR OCEAN
-124.08,40.86,18,1287,484,805,502,1.1157,150000,NEAR OCEAN
-124.09,40.86,25,1322,387,794,379,1.1742,75000,NEAR OCEAN
-124.09,40.87,44,692,206,398,211,1.1576,87500,NEAR OCEAN
-124.07,40.87,47,1765,326,796,333,2.2138,99200,NEAR OCEAN
-124.08,40.87,29,1710,469,990,425,1.1479,101100,NEAR OCEAN
-124.09,40.88,50,921,187,420,187,2.2188,105800,NEAR OCEAN
-124.07,40.87,31,334,134,780,130,0.7684,153100,NEAR OCEAN
-124.15,40.88,33,2235,506,1165,441,1.725,57500,NEAR OCEAN
-124.1,40.88,35,2987,578,1581,585,2.0657,81100,NEAR OCEAN
-124.09,40.88,31,1982,495,1052,467,1.5326,74100,NEAR OCEAN
-124.09,40.88,26,2683,555,1353,526,2.4321,82100,NEAR OCEAN
-124.1,40.9,18,4032,798,1948,775,2.7321,92600,NEAR OCEAN
-124.23,40.81,52,1112,209,544,172,3.3462,50800,NEAR OCEAN
-124.06,40.88,12,2087,424,1603,438,2.5667,139500,NEAR OCEAN
-124.08,40.91,13,2522,719,1381,628,1.6667,78800,NEAR OCEAN
-124.08,41.36,29,1029,239,509,196,2.0156,62800,NEAR OCEAN
-124.06,41.13,22,3263,799,1384,578,2.4708,119400,NEAR OCEAN
-124.14,41.06,32,1020,215,421,198,3.0208,143400,NEAR OCEAN
-124.1,41.04,26,1633,380,890,370,1.9741,97900,NEAR OCEAN
-124.16,41.02,23,1672,385,1060,390,2.1726,75500,NEAR OCEAN
-124.08,40.99,18,3297,662,1554,578,2.6847,111300,NEAR OCEAN
-124.16,40.95,20,1075,214,529,196,3.1406,96000,NEAR OCEAN
-124.11,40.95,19,1734,365,866,342,2.96,81700,NEAR OCEAN
-124.09,40.95,18,2250,484,1248,472,2.5893,99600,NEAR OCEAN
-124.11,40.93,25,2392,474,1298,461,3.5076,73600,NEAR OCEAN
-124.11,40.93,17,1661,329,948,357,2.7639,90200,NEAR OCEAN
-124.08,40.94,18,1550,345,941,335,2.3147,70100,NEAR OCEAN
-124.09,40.92,12,2497,491,1153,462,2.8182,126900,NEAR OCEAN
-124.05,40.94,14,1452,217,516,181,5.0329,165600,NEAR OCEAN
-124.1,40.95,17,1485,345,823,316,1.8993,78400,NEAR OCEAN
-124.07,40.81,23,2103,411,1019,387,2.9911,119700,NEAR OCEAN
-124.1,40.73,33,644,129,334,121,3.9659,111800,NEAR OCEAN
-124.17,40.74,17,2026,338,873,313,4.0357,128900,NEAR OCEAN
-124.14,40.72,18,2581,499,1375,503,2.8446,100500,NEAR OCEAN
-124.14,40.67,23,580,117,320,109,4.2054,130600,NEAR OCEAN
-124.19,40.73,21,5694,1056,2907,972,3.5363,90100,NEAR OCEAN
-124.21,40.75,32,1218,331,620,268,1.6528,58100,NEAR OCEAN
-124.27,40.69,36,2349,528,1194,465,2.5179,79000,NEAR OCEAN
-124.18,40.62,35,952,178,480,179,3.0536,107000,NEAR OCEAN
-124.17,40.62,32,1595,309,706,277,2.8958,86400,NEAR OCEAN
-124.13,40.62,43,2131,399,910,389,2.5804,92100,NEAR OCEAN
-124.16,40.6,39,1322,283,642,292,2.4519,85100,NEAR OCEAN
-124.15,40.59,39,1186,238,539,212,2.0938,79600,NEAR OCEAN
-124.14,40.6,27,1148,206,521,219,4.025,128100,NEAR OCEAN
-124.14,40.59,22,1665,405,826,382,1.5625,66800,NEAR OCEAN
-124.14,40.59,17,2985,610,1544,584,2.178,76800,NEAR OCEAN
-124.26,40.58,52,2217,394,907,369,2.3571,111400,NEAR OCEAN
-124.23,40.54,52,2694,453,1152,435,3.0806,106700,NEAR OCEAN
-124.35,40.54,52,1820,300,806,270,3.0147,94600,NEAR OCEAN
-124.25,40.28,32,1430,419,434,187,1.9417,76100,NEAR OCEAN
-124.08,40.06,17,1319,267,393,163,2.625,135600,NEAR OCEAN
-118.55,33.99,39,2603,456,928,410,7.9096,500001,NEAR OCEAN
-118.25,33.79,32,1205,340,1799,370,2.375,128000,NEAR OCEAN
-118.24,33.8,28,636,169,788,143,3.6161,131300,NEAR OCEAN
-118.23,33.8,26,239,135,165,112,1.3333,187500,NEAR OCEAN
-118.26,33.78,27,1672,491,1723,462,2.0458,174500,NEAR OCEAN
-118.25,33.79,34,1349,371,1716,380,2.7143,138100,NEAR OCEAN
-118.25,33.79,38,1730,460,1724,424,2.7308,150400,NEAR OCEAN
-118.25,33.79,39,981,286,1183,298,1.9208,139800,NEAR OCEAN
-118.26,33.78,21,2188,706,2265,652,1.9923,164700,NEAR OCEAN
-118.23,33.78,20,59,24,69,23,2.5588,350000,NEAR OCEAN
-118.26,33.78,35,1239,473,1524,387,2.0956,154700,NEAR OCEAN
-118.25,33.78,32,296,139,511,133,1.4444,182100,NEAR OCEAN
-118.24,33.78,24,574,173,784,162,2.25,152300,NEAR OCEAN
-118.26,33.78,36,2191,739,2931,692,2.1311,163100,NEAR OCEAN
-118.26,33.77,36,886,253,809,219,2.4545,164200,NEAR OCEAN
-118.27,33.77,26,2272,694,2567,595,1.9964,150600,NEAR OCEAN
-118.27,33.77,39,1731,485,2115,478,1.5369,141300,NEAR OCEAN
-118.27,33.76,46,22,11,32,7,3.125,112500,NEAR OCEAN
-118.28,33.75,41,1305,381,1384,369,2.45,186800,NEAR OCEAN
-118.28,33.75,18,393,189,429,188,1.8393,187500,NEAR OCEAN
-118.28,33.74,40,1751,512,1939,503,1.5394,200000,NEAR OCEAN
-118.28,33.75,21,2442,719,1916,646,1.2276,208300,NEAR OCEAN
-118.28,33.74,16,855,271,486,250,0.7591,350000,NEAR OCEAN
-118.3,33.74,47,2223,410,1163,413,4.4671,270800,NEAR OCEAN
-118.31,33.74,36,2464,472,1111,457,4.5074,350000,NEAR OCEAN
-118.31,33.74,22,5042,974,2260,935,4.3472,351200,NEAR OCEAN
-118.29,33.75,27,1650,443,1359,386,2.5795,192400,NEAR OCEAN
